Date,AGL.JO,AMS.JO,GFI.JO,IMP.JO,SOL.JO,SBK.JO,FSR.JO,NED.JO,ABG.JO,CPI.JO,DSY.JO,BAW.JO,SHP.JO,PIK.JO,AVI.JO,NPN.JO,MTN.JO,BTI.JO,REM.JO,CLH.JO,TRU.JO,MRP.JO,NTC.JO,APN.JO,ADH.JO,MUR.JO,WBO.JO,RLO.JO,AEG.JO
2003-01-10,16055.5517578125,33113.4375,10496.861328125,6934.62890625,9927.388671875,3078.223388671875,550.8707885742188,11473.5810546875,3341.55615234375,263.4337463378906,723.9762573242188,2784.867919921875,695.6053466796875,1364.3289794921875,1483.7979736328125,1586.83154296875,1309.58935546875,6457.43408203125,1478.188720703125,347.66644287109375,667.0836181640625,590.0331420898438,312.67315673828125,758.0956420898438,32.06574630737305,1178.7095947265625,1060.024169921875,1974.738037109375,144392.78125
2003-01-13,16904.013671875,33965.49609375,10549.345703125,7130.66162109375,10265.9111328125,3087.12939453125,558.3150024414062,11488.416015625,3362.317626953125,263.4337463378906,728.8353271484375,2655.16064453125,695.6053466796875,1355.35986328125,1463.0252685546875,1586.2039794921875,1413.7611083984375,6452.4697265625,1477.052490234375,347.66644287109375,663.1304931640625,580.1161499023438,307.7099609375,753.1082153320312,33.03751754760742,1174.2274169921875,1035.37255859375,1974.738037109375,145896.859375
2003-01-14,16990.1640625,33791.2109375,10754.0146484375,7106.15771484375,10066.373046875,3166.28662109375,571.7146606445312,11587.330078125,3431.521484375,263.4337463378906,728.8353271484375,2655.16064453125,694.6118774414062,1326.45849609375,1473.9061279296875,1571.1512451171875,1408.80078125,6591.44677734375,1508.86572265625,347.66644287109375,657.2012329101562,594.9912109375,308.70263671875,754.105712890625,34.009193420410156,1192.1546630859375,1055.093994140625,1974.738037109375,147400.9375
2003-01-15,17178.130859375,34081.671875,10168.8642578125,7351.19677734375,10354.263671875,3146.497802734375,571.7146606445312,11656.5634765625,3381.10107421875,263.4337463378906,723.9762573242188,2659.747802734375,700.5742797851562,1335.4276123046875,1468.9603271484375,1598.7481689453125,1408.80078125,6551.7373046875,1499.7762451171875,342.5536804199219,657.2012329101562,590.0331420898438,308.70263671875,753.1082153320312,33.03751754760742,1219.04541015625,1076.78759765625,1973.750244140625,147400.9375
2003-01-16,17086.76171875,33268.37109375,10233.591796875,7240.92919921875,10483.32421875,3037.656005859375,558.3150024414062,11424.1259765625,3331.669921875,282.2506103515625,719.117431640625,2636.35986328125,700.5742797851562,1330.44482421875,1464.014404296875,1608.78369140625,1398.8798828125,6380.001953125,1460.4639892578125,347.66644287109375,659.1775512695312,594.9912109375,311.6803894042969,761.088134765625,32.06574630737305,1254.8997802734375,1094.53662109375,1974.738037109375,146197.65625
2003-01-17,17426.1484375,34081.671875,10715.53125,7280.74755859375,10225.2109375,3037.656005859375,556.081787109375,11409.2890625,3321.78466796875,272.84210205078125,714.2584228515625,2568.03125,685.668212890625,1320.47900390625,1464.014404296875,1608.78369140625,1349.274169921875,6323.4189453125,1447.5113525390625,368.117431640625,652.259521484375,590.0331420898438,310.68792724609375,763.083251953125,32.06574630737305,1254.8997802734375,1099.467041015625,1974.738037109375,145896.859375
2003-01-20,17295.61328125,33791.2109375,10582.580078125,7289.93603515625,10220.244140625,3062.392822265625,565.7591552734375,11503.255859375,3381.10107421875,268.1379089355469,704.540771484375,2613.889892578125,695.6053466796875,1350.37646484375,1454.1221923828125,1608.78369140625,1359.1953125,6373.05322265625,1458.873046875,368.117431640625,652.259521484375,590.0331420898438,309.69525146484375,753.1082153320312,31.09408187866211,1254.8997802734375,1084.67578125,1876.826904296875,144392.78125
2003-01-21,17452.251953125,34275.3203125,10408.5224609375,7473.716796875,10026.6630859375,3031.7197265625,556.081787109375,11404.3427734375,3405.8173828125,282.2506103515625,699.681640625,2611.59716796875,695.6053466796875,1320.47900390625,1439.2845458984375,1630.7354736328125,1359.1953125,6353.19970703125,1454.328125,368.117431640625,662.1423950195312,591.0247192382812,309.69525146484375,758.0956420898438,31.09408187866211,1241.454345703125,1084.67578125,1862.0098876953125,143039.109375
2003-01-22,17295.61328125,34120.40234375,10784.62890625,7473.716796875,9877.7529296875,2958.498779296875,543.4263305664062,11300.4912109375,3356.3857421875,268.1379089355469,670.5283813476562,2595.546875,695.6053466796875,1320.47900390625,1444.23046875,1618.192138671875,1309.58935546875,6253.93310546875,1431.604736328125,357.8919677734375,657.2012329101562,594.9912109375,309.69525146484375,768.0706176757812,31.09408187866211,1214.563720703125,1084.67578125,1847.192626953125,143039.109375
2003-01-23,16876.599609375,33258.67578125,10934.1943359375,7240.92919921875,9580.921875,2879.34228515625,540.4489135742188,11293.5634765625,3345.51025390625,268.1379089355469,689.9639282226562,2503.8310546875,685.668212890625,1310.51318359375,1405.6517333984375,1599.375732421875,1289.747314453125,6164.59033203125,1411.1531982421875,347.66644287109375,652.259521484375,590.0331420898438,308.70263671875,768.0706176757812,33.03751754760742,1183.19091796875,1084.67578125,1810.6441650390625,142136.640625
2003-01-24,16577.6796875,32629.328125,11282.3154296875,7118.40869140625,9381.3818359375,2860.541748046875,528.5381469726562,10880.1201171875,3262.46630859375,268.1379089355469,691.9075317382812,2460.724365234375,690.6369018554688,1290.581298828125,1394.77001953125,1586.83154296875,1302.644775390625,6103.04345703125,1397.0643310546875,349.7115478515625,632.4940795898438,585.0748901367188,305.7248229980469,768.0706176757812,33.03751754760742,1152.7149658203125,1084.67578125,1778.0465087890625,141384.578125
2003-01-27,16179.556640625,31854.74609375,11195.7197265625,7118.40869140625,9450.8740234375,2805.132568359375,513.649658203125,10583.3896484375,3213.03515625,239.91282653808594,680.24609375,2370.84375,678.7123413085938,1235.76904296875,1360.1483154296875,1567.3875732421875,1309.58935546875,5946.19921875,1361.1607666015625,349.7115478515625,607.7871704101562,565.2415771484375,305.7248229980469,768.0706176757812,33.03751754760742,1120.446044921875,1054.1080322265625,1778.0465087890625,138376.375
2003-01-28,16342.7216796875,31757.921875,10802.123046875,6971.38427734375,9450.8740234375,2844.710693359375,516.62744140625,10341.060546875,3183.375732421875,244.6170654296875,694.8230590820312,2407.530029296875,685.668212890625,1278.622314453125,1365.094482421875,1546.0628662109375,1319.5103759765625,5955.1328125,1363.20556640625,349.7115478515625,607.7871704101562,550.3670654296875,303.7396240234375,762.085693359375,33.03751754760742,1115.0679931640625,1045.233154296875,1778.0465087890625,137624.375
2003-01-29,16186.0849609375,31757.921875,10583.455078125,6983.63671875,9292.037109375,2870.4365234375,517.3718872070312,10584.3798828125,3262.46630859375,244.6170654296875,689.9639282226562,2441.9228515625,678.7123413085938,1235.76904296875,1353.2239990234375,1505.2947998046875,1339.3529052734375,5847.92236328125,1338.6644287109375,344.80322265625,607.7871704101562,540.4505615234375,297.7839050292969,768.0706176757812,31.09408187866211,1084.5916748046875,1035.37255859375,1778.0465087890625,136872.296875
2003-01-30,15853.2255859375,32861.6953125,9901.2158203125,7191.919921875,9277.142578125,2963.44677734375,532.2601318359375,10830.6640625,3232.80712890625,235.20875549316406,689.9639282226562,2515.295654296875,680.6995239257812,1255.70068359375,1384.8782958984375,1505.2947998046875,1334.392578125,5856.8564453125,1340.709228515625,342.5536804199219,632.4940795898438,555.3251953125,301.75439453125,768.0706176757812,31.09408187866211,1120.446044921875,1035.37255859375,1797.8026123046875,139880.5
2003-01-31,15468.154296875,31757.921875,9735.0322265625,7240.92919921875,9004.140625,2963.44677734375,532.2601318359375,10781.2099609375,3252.580322265625,225.8004150390625,680.24609375,2499.244384765625,705.542724609375,1245.7344970703125,1360.1483154296875,1505.2947998046875,1300.660888671875,5886.6376953125,1347.5260009765625,342.5536804199219,627.5530395507812,555.3251953125,303.7396240234375,768.0706176757812,31.09408187866211,1102.51904296875,1035.37255859375,1832.3758544921875,138376.375
2003-02-03,15742.2734375,32338.857421875,9621.3193359375,7351.19677734375,8944.576171875,2968.393798828125,544.1709594726562,10880.1201171875,3227.864990234375,225.8004150390625,680.24609375,2535.93115234375,710.5114135742188,1270.6495361328125,1365.094482421875,1461.39013671875,1304.62890625,5905.49853515625,1351.84375,342.5536804199219,612.7288818359375,555.3251953125,299.8376770019531,768.0706176757812,29.15074348449707,1129.409912109375,1064.954345703125,1832.3758544921875,138376.375
2003-02-04,15794.484375,31951.568359375,9272.3330078125,7473.716796875,8666.611328125,2918.921142578125,538.2155151367188,10880.1201171875,3227.864990234375,230.50453186035156,680.24609375,2499.244384765625,715.47998046875,1295.5643310546875,1365.094482421875,1460.762939453125,1289.747314453125,5788.36279296875,1325.029541015625,343.57635498046875,622.6115112304688,560.2836303710938,298.8448486328125,768.0706176757812,29.15074348449707,1138.3731689453125,1064.954345703125,1865.961181640625,138376.375
